# VarAstro Metadata Begin
# ObservationId: 87106
# StarName: OGLE-TR-113
# RA: 10h 52m 24.00s (163.0999999900)
# DE: -61° 26' 48.00" (-61.4466666663)
# ObserverName: Carl R Knight
# Station: Ngileah Observatory
# Latitude: -40
# Longitude: 175
# Instrument: 0.3m F10 SCT, SBIG ST10XE
# Filter: R
# JD: GJD
# Unit: Mag
# VarAstro Metadata End
2458165.98900	+14.372	0.017
2458165.98941	+14.373	0.017
2458165.98981	+14.367	0.017
2458165.99022	+14.367	0.017
2458165.99063	+14.359	0.017
2458165.99103	+14.372	0.018
2458165.99143	+14.376	0.018
2458165.99184	+14.377	0.017
2458165.99225	+14.370	0.017
2458165.99265	+14.368	0.017
2458165.99306	+14.362	0.017
2458165.99347	+14.381	0.018
2458165.99387	+14.346	0.017
2458165.99428	+14.372	0.017
2458165.99469	+14.377	0.017
2458165.99509	+14.361	0.017
2458165.99550	+14.365	0.017
2458165.99590	+14.366	0.017
2458165.99631	+14.368	0.017
2458165.99671	+14.354	0.017
2458165.99712	+14.365	0.017
2458165.99752	+14.359	0.017
2458165.99793	+14.353	0.017
2458165.99833	+14.366	0.017
2458165.99874	+14.362	0.017
2458165.99914	+14.354	0.017
2458165.99955	+14.367	0.017
2458165.99995	+14.366	0.017
2458166.00056	+14.378	0.017
2458166.00116	+14.379	0.017
2458166.00177	+14.353	0.017
2458166.00238	+14.357	0.017
2458166.00298	+14.372	0.017
2458166.00359	+14.362	0.017
2458166.00420	+14.344	0.017
2458166.00481	+14.360	0.017
2458166.00521	+14.356	0.017
2458166.00562	+14.357	0.017
2458166.00602	+14.349	0.017
2458166.00643	+14.358	0.017
2458166.00683	+14.353	0.017
2458166.00724	+14.355	0.017
2458166.00764	+14.361	0.017
2458166.00805	+14.369	0.017
2458166.00845	+14.364	0.017
2458166.00886	+14.364	0.017
2458166.00926	+14.354	0.017
2458166.00967	+14.356	0.017
2458166.01007	+14.363	0.017
2458166.01048	+14.358	0.017
2458166.01128	+14.347	0.017
2458166.01169	+14.356	0.017
2458166.01209	+14.361	0.017
2458166.01250	+14.354	0.017
2458166.01290	+14.356	0.017
2458166.01331	+14.361	0.017
2458166.01371	+14.362	0.017
2458166.01412	+14.347	0.017
2458166.01452	+14.330	0.017
2458166.01533	+14.331	0.017
2458166.01573	+14.336	0.017
2458166.01614	+14.344	0.017
2458166.01655	+14.335	0.017
2458166.01695	+14.328	0.017
2458166.01736	+14.327	0.017
2458166.01776	+14.323	0.016
2458166.01817	+14.321	0.016
2458166.01858	+14.329	0.017
2458166.01898	+14.328	0.017
2458166.01938	+14.341	0.017
2458166.01978	+14.335	0.017
2458166.02019	+14.342	0.017
2458166.02059	+14.342	0.017
2458166.02099	+14.355	0.017
2458166.02139	+14.355	0.017
2458166.02179	+14.371	0.017
2458166.02219	+14.357	0.017
2458166.02259	+14.356	0.017
2458166.02299	+14.361	0.017
2458166.02340	+14.363	0.017
2458166.02380	+14.375	0.017
2458166.02420	+14.379	0.017
2458166.02461	+14.360	0.017
2458166.02501	+14.367	0.017
2458166.02541	+14.376	0.018
2458166.02582	+14.376	0.017
2458166.02622	+14.361	0.017
2458166.02663	+14.375	0.018
2458166.02703	+14.357	0.017
2458166.02743	+14.359	0.017
2458166.02784	+14.362	0.017
2458166.02824	+14.355	0.017
2458166.02865	+14.353	0.017
2458166.02905	+14.349	0.017
2458166.02945	+14.353	0.017
2458166.02986	+14.356	0.017
2458166.03026	+14.351	0.017
2458166.03067	+14.361	0.017
2458166.03107	+14.360	0.017
2458166.03148	+14.337	0.017
2458166.03188	+14.353	0.017
2458166.03229	+14.346	0.017
2458166.03269	+14.349	0.017
2458166.03310	+14.366	0.017
2458166.03351	+14.353	0.017
2458166.03391	+14.367	0.017
2458166.03432	+14.352	0.017
2458166.03473	+14.351	0.017
2458166.03513	+14.348	0.017
2458166.03554	+14.368	0.017
2458166.03595	+14.382	0.018
2458166.03636	+14.347	0.017
2458166.03676	+14.353	0.017
2458166.03716	+14.343	0.017
2458166.03757	+14.343	0.017
2458166.03797	+14.345	0.017
2458166.03838	+14.334	0.017
2458166.03878	+14.335	0.017
2458166.03918	+14.345	0.017
2458166.03959	+14.340	0.017
2458166.03999	+14.333	0.016
2458166.04040	+14.338	0.016
2458166.04080	+14.333	0.016
2458166.04121	+14.336	0.016
2458166.04161	+14.344	0.017
2458166.04202	+14.323	0.016
2458166.04242	+14.320	0.016
2458166.04283	+14.328	0.016
2458166.04323	+14.325	0.016
2458166.04363	+14.319	0.016
2458166.04404	+14.322	0.016
2458166.04444	+14.326	0.016
2458166.04484	+14.328	0.016
2458166.04525	+14.333	0.016
2458166.04565	+14.332	0.016
2458166.04605	+14.318	0.016
2458166.04646	+14.325	0.016
2458166.04686	+14.320	0.016
2458166.04726	+14.322	0.016
